,title,price,link
10,"HP Laptop 240R G9 (2024), Intel Core i3 13th Gen 1315U - (16GB/512GB SSD/Intel UHD Graphics/Windows 11) Thin and Light Business Laptop/14 (35.56cm)/Ash Grey/1.47 kg/MS Office 2021","33,399",https://amazon.in//HP-Laptop-240R-Intel-1315U/dp/B0DKG9ZCGH/ref=sr_1_15?crid=6MYET830HUWF&dib=eyJ2IjoiMSJ9._wlIrbwlaBvAsqQpztYLgxryIvuVFe0MiicvCOzRBF6EY6ouXCbWUGrSXuo2tNT-aRPSZOy_K5HjBSO357w-MZ3rdRBRaLrG9f2AGp75M9UiOMMzJbjXQIzfzh2uyK4_WP9NrpeG4UrJI-Bbe2XHuqifn2edDUj088bhVR_ktGmHLIzaliiTYqv--3nrQ_LgEMdHCGKX49jx98kX0IWi4ANvp-FEi8m67kFPazW05YI.e6XJBA0hNmqj5l1qK-eQPBaw134c4xXoeNhQTsda5jI&dib_tag=se&keywords=laptop&qid=1737229280&sprefix=laptop%2Caps%2C483&sr=8-15
11,"Acer Aspire 3 Laptop Intel Core Celeron N4500 Processor Laptop (8 GB LPDDR4X SDRAM/512 GB SSD/Win11 Home/38 WHR/HD Webcam) A325-45 with 39.63 cm (15.6"") HD Display, Pure Silver, 1.5 KG","22,990",https://amazon.in//Acer-Celeron-Processor-LPDDR4X-A325-45/dp/B0D7PYTTGH/ref=sr_1_16?crid=6MYET830HUWF&dib=eyJ2IjoiMSJ9._wlIrbwlaBvAsqQpztYLgxryIvuVFe0MiicvCOzRBF6EY6ouXCbWUGrSXuo2tNT-aRPSZOy_K5HjBSO357w-MZ3rdRBRaLrG9f2AGp75M9UiOMMzJbjXQIzfzh2uyK4_WP9NrpeG4UrJI-Bbe2XHuqifn2edDUj088bhVR_ktGmHLIzaliiTYqv--3nrQ_LgEMdHCGKX49jx98kX0IWi4ANvp-FEi8m67kFPazW05YI.e6XJBA0hNmqj5l1qK-eQPBaw134c4xXoeNhQTsda5jI&dib_tag=se&keywords=laptop&qid=1737229280&sprefix=laptop%2Caps%2C483&sr=8-16
12,"HP 15s, 12th Gen Intel Core i3-1215U, 8GB DDR4, 512GB SSD, (Win 11, Office 21, Silver, 1.69kg), Anti-Glare, 15.6-inch (39.6cm) FHD Laptop, Intel UHD Graphics, HD Camera, Dual Speakers, fy5011TU","34,990",https://amazon.in//HP-i3-1215U-Anti-Glare-15-6-inch-Graphics/dp/B0D4LZMJ5Z/ref=sr_1_3?crid=6MYET830HUWF&dib=eyJ2IjoiMSJ9._wlIrbwlaBvAsqQpztYLgxryIvuVFe0MiicvCOzRBF6EY6ouXCbWUGrSXuo2tNT-aRPSZOy_K5HjBSO357w-MZ3rdRBRaLrG9f2AGp75M9UiOMMzJbjXQIzfzh2uyK4_WP9NrpeG4UrJI-Bbe2XHuqifn2edDUj088bhVR_ktGmHLIzaliiTYqv--3nrQ_LgEMdHCGKX49jx98kX0IWi4ANvp-FEi8m67kFPazW05YI.e6XJBA0hNmqj5l1qK-eQPBaw134c4xXoeNhQTsda5jI&dib_tag=se&keywords=laptop&qid=1737229280&sprefix=laptop%2Caps%2C483&sr=8-3
13,"HP Victus, AMD Ryzen 5 5600H, NVIDIA RTX 3050, 16GB DDR4, 512GB SSD (Win11, Office21, Blue, 2.37kg) 144Hz, 9MS, IPS, 15.6-inch(39.6cm) Gaming Laptop, Backlit kb, Enhanced Cooling, fb0106AX/Fb0112AX","57,990",https://amazon.in//HP-GeForce-Graphics-Response-15-fb0106AX/dp/B0BWS9YNCX/ref=sr_1_17?crid=6MYET830HUWF&dib=eyJ2IjoiMSJ9._wlIrbwlaBvAsqQpztYLgxryIvuVFe0MiicvCOzRBF6EY6ouXCbWUGrSXuo2tNT-aRPSZOy_K5HjBSO357w-MZ3rdRBRaLrG9f2AGp75M9UiOMMzJbjXQIzfzh2uyK4_WP9NrpeG4UrJI-Bbe2XHuqifn2edDUj088bhVR_ktGmHLIzaliiTYqv--3nrQ_LgEMdHCGKX49jx98kX0IWi4ANvp-FEi8m67kFPazW05YI.e6XJBA0hNmqj5l1qK-eQPBaw134c4xXoeNhQTsda5jI&dib_tag=se&keywords=laptop&qid=1737229280&sprefix=laptop%2Caps%2C483&sr=8-17
14,"HP Pavilion, 12th Gen Intel Core i5-1235U, 16GB DDR4, 512GB SSD, (Win 11, Office 21, Silver, 1.41kg) IPS, BrightView, 14-inch(35.6cm) FHD Laptop, Intel Iris Xe Graphics, HD camera, Backlit KB,dv2014TU","56,240",https://amazon.in//HP-Pavilion-Micro-Edge-Graphics-14-dv2014TU/dp/B0B1M9HYBT/ref=sr_1_18?crid=6MYET830HUWF&dib=eyJ2IjoiMSJ9._wlIrbwlaBvAsqQpztYLgxryIvuVFe0MiicvCOzRBF6EY6ouXCbWUGrSXuo2tNT-aRPSZOy_K5HjBSO357w-MZ3rdRBRaLrG9f2AGp75M9UiOMMzJbjXQIzfzh2uyK4_WP9NrpeG4UrJI-Bbe2XHuqifn2edDUj088bhVR_ktGmHLIzaliiTYqv--3nrQ_LgEMdHCGKX49jx98kX0IWi4ANvp-FEi8m67kFPazW05YI.e6XJBA0hNmqj5l1qK-eQPBaw134c4xXoeNhQTsda5jI&dib_tag=se&keywords=laptop&qid=1737229280&sprefix=laptop%2Caps%2C483&sr=8-18
15,"Acer Aspire Lite 12th Gen Intel Core i5-12450H Thin and Light Laptop (Windows11Home/16GB RAM/512GB SSD/MSO) AL15-52H, 39.62cm (15.6"") IPS Full HD, Backlit Keyboard, Pure Silver, 1.7KG","46,990",https://amazon.in//Acer-i5-12450H-Windows11Home-AL15-52H-Keyboard/dp/B0DDL495SX/ref=sr_1_19?crid=6MYET830HUWF&dib=eyJ2IjoiMSJ9._wlIrbwlaBvAsqQpztYLgxryIvuVFe0MiicvCOzRBF6EY6ouXCbWUGrSXuo2tNT-aRPSZOy_K5HjBSO357w-MZ3rdRBRaLrG9f2AGp75M9UiOMMzJbjXQIzfzh2uyK4_WP9NrpeG4UrJI-Bbe2XHuqifn2edDUj088bhVR_ktGmHLIzaliiTYqv--3nrQ_LgEMdHCGKX49jx98kX0IWi4ANvp-FEi8m67kFPazW05YI.e6XJBA0hNmqj5l1qK-eQPBaw134c4xXoeNhQTsda5jI&dib_tag=se&keywords=laptop&qid=1737229280&sprefix=laptop%2Caps%2C483&sr=8-19
16,"Lenovo IdeaPad Slim 1 AMD Ryzen 5 5500U 15.6"" HD Thin and Light Laptop (16GB/512GB SSD/Integrated AMD Graphics/Windows 11 Home/MSO 21/1Yr ADP Free/Cloud Grey/1.61Kg), 82R400ERIN","34,990",https://amazon.in//Lenovo-IdeaPad-Laptop-Windows-82R400ERIN/dp/B0CP2KRYLM/ref=sr_1_20?crid=6MYET830HUWF&dib=eyJ2IjoiMSJ9._wlIrbwlaBvAsqQpztYLgxryIvuVFe0MiicvCOzRBF6EY6ouXCbWUGrSXuo2tNT-aRPSZOy_K5HjBSO357w-MZ3rdRBRaLrG9f2AGp75M9UiOMMzJbjXQIzfzh2uyK4_WP9NrpeG4UrJI-Bbe2XHuqifn2edDUj088bhVR_ktGmHLIzaliiTYqv--3nrQ_LgEMdHCGKX49jx98kX0IWi4ANvp-FEi8m67kFPazW05YI.e6XJBA0hNmqj5l1qK-eQPBaw134c4xXoeNhQTsda5jI&dib_tag=se&keywords=laptop&qid=1737229280&sprefix=laptop%2Caps%2C483&sr=8-20
17,"HP Victus, AMD Ryzen 5 5600H, NVIDIA RTX 3050, 16GB DDR4, 512GB SSD (Win11, Office21, Blue, 2.37kg) 144Hz, 9MS, IPS, 15.6-inch(39.6cm) Gaming Laptop, Backlit kb, Enhanced Cooling, fb0106AX/Fb0112AX","57,990",https://amazon.in//sspa/click?ie=UTF8&spc=MTo4MjMxNjY2MDIyODA1NTk2OjE3MzcyMjkyODA6c3BfYnRmOjMwMDI0NzYxNTc2NDMzMjo6MDo6&url=%2FHP-GeForce-Graphics-Response-15-fb0106AX%2Fdp%2FB0BWS9YNCX%2Fref%3Dsr_1_21_sspa%3Fcrid%3D6MYET830HUWF%26dib%3DeyJ2IjoiMSJ9._wlIrbwlaBvAsqQpztYLgxryIvuVFe0MiicvCOzRBF6EY6ouXCbWUGrSXuo2tNT-aRPSZOy_K5HjBSO357w-MZ3rdRBRaLrG9f2AGp75M9UiOMMzJbjXQIzfzh2uyK4_WP9NrpeG4UrJI-Bbe2XHuqifn2edDUj088bhVR_ktGmHLIzaliiTYqv--3nrQ_LgEMdHCGKX49jx98kX0IWi4ANvp-FEi8m67kFPazW05YI.e6XJBA0hNmqj5l1qK-eQPBaw134c4xXoeNhQTsda5jI%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1737229280%26sprefix%3Dlaptop%252Caps%252C483%26sr%3D8-21-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
18,"Lenovo Ideapad Gaming 3 Laptop AMD Ryzen 5 5500H 15.6"" (39.62Cm) FHD IPS 300Nits 144Hz (8GB/512GB SSD/Win 11/NVIDIA RTX 2050 4Gb/Alexa/3 Month Game Pass/Shadow Black/2.32Kg), 82K20289IN","47,990",https://amazon.in//sspa/click?ie=UTF8&spc=MTo4MjMxNjY2MDIyODA1NTk2OjE3MzcyMjkyODA6c3BfYnRmOjMwMDE3MDEyNjk5MDQzMjo6MDo6&url=%2FLenovo-IdeaPad-39-62cm-300nits-82K20289IN%2Fdp%2FB0CL5L59Z9%2Fref%3Dsr_1_22_sspa%3Fcrid%3D6MYET830HUWF%26dib%3DeyJ2IjoiMSJ9._wlIrbwlaBvAsqQpztYLgxryIvuVFe0MiicvCOzRBF6EY6ouXCbWUGrSXuo2tNT-aRPSZOy_K5HjBSO357w-MZ3rdRBRaLrG9f2AGp75M9UiOMMzJbjXQIzfzh2uyK4_WP9NrpeG4UrJI-Bbe2XHuqifn2edDUj088bhVR_ktGmHLIzaliiTYqv--3nrQ_LgEMdHCGKX49jx98kX0IWi4ANvp-FEi8m67kFPazW05YI.e6XJBA0hNmqj5l1qK-eQPBaw134c4xXoeNhQTsda5jI%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1737229280%26sprefix%3Dlaptop%252Caps%252C483%26sr%3D8-22-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
19,"kotsren 15.6'' Laptop Computer, 16GB RAM 512GB ROM Celeron N5095 Quad-Core Processors, 1920 * 1080 IPS FHD, WiFi, Bluetooth, Mini HDMI, TF Card, USB 3.0","25,000",https://amazon.in//sspa/click?ie=UTF8&spc=MTo2NjQ3OTQ1MjI5NDc5NDg2OjE3MzcyMjkyODg6c3BfYXRmX25leHQ6MzAwNDYwNTczMjM5MjMyOjowOjo&url=%2Fkotsren-Computer-Quad-Core-Processors-Bluetooth%2Fdp%2FB0D3X3L66X%2Fref%3Dsr_1_17_sspa%3Fcrid%3D6MYET830HUWF%26dib%3DeyJ2IjoiMSJ9.R1Z-MIx9ttTdlwSs7tS553DEsRIfjU6yB-I_CGN51jdC6CdgtdRWi_9Sixs2XXc011Gu0UqFiIZc_-QRHCAfdBCKD-u9RH5hg906ZpwlJiV47NOHTaFpgALo4xOpYH10E4LYOGM85Iyeyt6WSHR0m1CB79f8QRS1roElLF6SbcR73owTxK6EK5LiR-PBG5h6JSa015gaRY2gNN0Y3z_1l0MSUZmkX6uLwRMNZNnpXRc.Cv_UMZrX-l_1mWPsDXxFwnewSQvxtYPMJgku9WPmKtU%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1737229288%26sprefix%3Dlaptop%252Caps%252C483%26sr%3D8-17-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
